,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
0,LP001002,Male,0.0,0,1,0.0,5849,0.0,128.0,360.0,1.0,Urban,1
1,LP001003,Male,1.0,1,1,0.0,4583,1508.0,128.0,360.0,1.0,Rural,0
2,LP001005,Male,1.0,0,1,1.0,3000,0.0,66.0,360.0,1.0,Urban,1
3,LP001006,Male,1.0,0,0,0.0,2583,2358.0,120.0,360.0,1.0,Urban,1
4,LP001008,Male,0.0,0,1,0.0,6000,0.0,141.0,360.0,1.0,Urban,1
5,LP001011,Male,1.0,2,1,1.0,5417,4196.0,267.0,360.0,1.0,Urban,1
6,LP001013,Male,1.0,0,0,0.0,2333,1516.0,95.0,360.0,1.0,Urban,1
7,LP001014,Male,1.0,3+,1,0.0,3036,2504.0,158.0,360.0,0.0,Semiurban,0
8,LP001018,Male,1.0,2,1,0.0,4006,1526.0,168.0,360.0,1.0,Urban,1
9,LP001020,Male,1.0,1,1,0.0,12841,10968.0,349.0,360.0,1.0,Semiurban,0
10,LP001024,Male,1.0,2,1,0.0,3200,700.0,70.0,360.0,1.0,Urban,1
11,LP001027,Male,1.0,2,1,0.0,2500,1840.0,109.0,360.0,1.0,Urban,1
12,LP001028,Male,1.0,2,1,0.0,3073,8106.0,200.0,360.0,1.0,Urban,1
13,LP001029,Male,0.0,0,1,0.0,1853,2840.0,114.0,360.0,1.0,Rural,0
14,LP001030,Male,1.0,2,1,0.0,1299,1086.0,17.0,120.0,1.0,Urban,1
15,LP001032,Male,0.0,0,1,0.0,4950,0.0,125.0,360.0,1.0,Urban,1
16,LP001034,Male,0.0,1,0,0.0,3596,0.0,100.0,240.0,1.0,Urban,1
17,LP001036,Female,0.0,0,1,0.0,3510,0.0,76.0,360.0,0.0,Urban,0
18,LP001038,Male,1.0,0,0,0.0,4887,0.0,133.0,360.0,1.0,Rural,0
19,LP001041,Male,1.0,0,1,0.0,2600,3500.0,115.0,360.0,1.0,Urban,1
20,LP001043,Male,1.0,0,0,0.0,7660,0.0,104.0,360.0,0.0,Urban,0
21,LP001046,Male,1.0,1,1,0.0,5955,5625.0,315.0,360.0,1.0,Urban,1
22,LP001047,Male,1.0,0,0,0.0,2600,1911.0,116.0,360.0,0.0,Semiurban,0
23,LP001050,Male,1.0,2,0,0.0,3365,1917.0,112.0,360.0,0.0,Rural,0
24,LP001052,Male,1.0,1,1,0.0,3717,2925.0,151.0,360.0,1.0,Semiurban,0
25,LP001066,Male,1.0,0,1,1.0,9560,0.0,191.0,360.0,1.0,Semiurban,1
26,LP001068,Male,1.0,0,1,0.0,2799,2253.0,122.0,360.0,1.0,Semiurban,1
27,LP001073,Male,1.0,2,0,0.0,4226,1040.0,110.0,360.0,1.0,Urban,1
28,LP001086,Male,0.0,0,0,0.0,1442,0.0,35.0,360.0,1.0,Urban,0
29,LP001087,Female,0.0,2,1,0.0,3750,2083.0,120.0,360.0,1.0,Semiurban,1
30,LP001091,Male,1.0,1,1,0.0,4166,3369.0,201.0,360.0,1.0,Urban,0
31,LP001095,Male,0.0,0,1,0.0,3167,0.0,74.0,360.0,1.0,Urban,0
32,LP001097,Male,0.0,1,1,1.0,4692,0.0,106.0,360.0,1.0,Rural,0
33,LP001098,Male,1.0,0,1,0.0,3500,1667.0,114.0,360.0,1.0,Semiurban,1
34,LP001100,Male,0.0,3+,1,0.0,12500,3000.0,320.0,360.0,1.0,Rural,0
35,LP001106,Male,1.0,0,1,0.0,2275,2067.0,128.0,360.0,1.0,Urban,1
36,LP001109,Male,1.0,0,1,0.0,1828,1330.0,100.0,360.0,0.0,Urban,0
37,LP001112,Female,1.0,0,1,0.0,3667,1459.0,144.0,360.0,1.0,Semiurban,1
38,LP001114,Male,0.0,0,1,0.0,4166,7210.0,184.0,360.0,1.0,Urban,1
39,LP001116,Male,0.0,0,0,0.0,3748,1668.0,110.0,360.0,1.0,Semiurban,1
40,LP001119,Male,0.0,0,1,0.0,3600,0.0,80.0,360.0,1.0,Urban,0
41,LP001120,Male,0.0,0,1,0.0,1800,1213.0,47.0,360.0,1.0,Urban,1
42,LP001123,Male,1.0,0,1,0.0,2400,0.0,75.0,360.0,1.0,Urban,1
43,LP001131,Male,1.0,0,1,0.0,3941,2336.0,134.0,360.0,1.0,Semiurban,1
44,LP001136,Male,1.0,0,0,1.0,4695,0.0,96.0,360.0,1.0,Urban,1
45,LP001137,Female,0.0,0,1,0.0,3410,0.0,88.0,360.0,1.0,Urban,1
46,LP001138,Male,1.0,1,1,0.0,5649,0.0,44.0,360.0,1.0,Urban,1
47,LP001144,Male,1.0,0,1,0.0,5821,0.0,144.0,360.0,1.0,Urban,1
48,LP001146,Female,1.0,0,1,0.0,2645,3440.0,120.0,360.0,0.0,Urban,0
49,LP001151,Female,0.0,0,1,0.0,4000,2275.0,144.0,360.0,1.0,Semiurban,1
50,LP001155,Female,1.0,0,0,0.0,1928,1644.0,100.0,360.0,1.0,Semiurban,1
51,LP001157,Female,0.0,0,1,0.0,3086,0.0,120.0,360.0,1.0,Semiurban,1
52,LP001164,Female,0.0,0,1,0.0,4230,0.0,112.0,360.0,1.0,Semiurban,0
53,LP001179,Male,1.0,2,1,0.0,4616,0.0,134.0,360.0,1.0,Urban,0
54,LP001186,Female,1.0,1,1,1.0,11500,0.0,286.0,360.0,0.0,Urban,0
55,LP001194,Male,1.0,2,1,0.0,2708,1167.0,97.0,360.0,1.0,Semiurban,1
56,LP001195,Male,1.0,0,1,0.0,2132,1591.0,96.0,360.0,1.0,Semiurban,1
57,LP001197,Male,1.0,0,1,0.0,3366,2200.0,135.0,360.0,1.0,Rural,0
58,LP001198,Male,1.0,1,1,0.0,8080,2250.0,180.0,360.0,1.0,Urban,1
59,LP001199,Male,1.0,2,0,0.0,3357,2859.0,144.0,360.0,1.0,Urban,1
60,LP001205,Male,1.0,0,1,0.0,2500,3796.0,120.0,360.0,1.0,Urban,1
61,LP001206,Male,1.0,3+,1,0.0,3029,0.0,99.0,360.0,1.0,Urban,1
62,LP001207,Male,1.0,0,0,1.0,2609,3449.0,165.0,180.0,0.0,Rural,0
63,LP001213,Male,1.0,1,1,0.0,4945,0.0,128.0,360.0,0.0,Rural,0
64,LP001222,Female,0.0,0,1,0.0,4166,0.0,116.0,360.0,0.0,Semiurban,0
65,LP001225,Male,1.0,0,1,0.0,5726,4595.0,258.0,360.0,1.0,Semiurban,0
66,LP001228,Male,0.0,0,0,0.0,3200,2254.0,126.0,180.0,0.0,Urban,0
67,LP001233,Male,1.0,1,1,0.0,10750,0.0,312.0,360.0,1.0,Urban,1
68,LP001238,Male,1.0,3+,0,1.0,7100,0.0,125.0,60.0,1.0,Urban,1
69,LP001241,Female,0.0,0,1,0.0,4300,0.0,136.0,360.0,0.0,Semiurban,0
70,LP001243,Male,1.0,0,1,0.0,3208,3066.0,172.0,360.0,1.0,Urban,1
71,LP001245,Male,1.0,2,0,1.0,1875,1875.0,97.0,360.0,1.0,Semiurban,1
72,LP001248,Male,0.0,0,1,0.0,3500,0.0,81.0,300.0,1.0,Semiurban,1
73,LP001250,Male,1.0,3+,0,0.0,4755,0.0,95.0,360.0,0.0,Semiurban,0
74,LP001253,Male,1.0,3+,1,1.0,5266,1774.0,187.0,360.0,1.0,Semiurban,1
75,LP001255,Male,0.0,0,1,0.0,3750,0.0,113.0,480.0,1.0,Urban,0
76,LP001256,Male,0.0,0,1,0.0,3750,4750.0,176.0,360.0,1.0,Urban,0
77,LP001259,Male,1.0,1,1,1.0,1000,3022.0,110.0,360.0,1.0,Urban,0
78,LP001263,Male,1.0,3+,1,0.0,3167,4000.0,180.0,300.0,0.0,Semiurban,0
79,LP001264,Male,1.0,3+,0,1.0,3333,2166.0,130.0,360.0,1.0,Semiurban,1
80,LP001265,Female,0.0,0,1,0.0,3846,0.0,111.0,360.0,1.0,Semiurban,1
81,LP001266,Male,1.0,1,1,1.0,2395,0.0,128.0,360.0,1.0,Semiurban,1
82,LP001267,Female,1.0,2,1,0.0,1378,1881.0,167.0,360.0,1.0,Urban,0
83,LP001273,Male,1.0,0,1,0.0,6000,2250.0,265.0,360.0,1.0,Semiurban,0
84,LP001275,Male,1.0,1,1,0.0,3988,0.0,50.0,240.0,1.0,Urban,1
85,LP001279,Male,0.0,0,1,0.0,2366,2531.0,136.0,360.0,1.0,Semiurban,1
86,LP001280,Male,1.0,2,0,0.0,3333,2000.0,99.0,360.0,1.0,Semiurban,1
87,LP001282,Male,1.0,0,1,0.0,2500,2118.0,104.0,360.0,1.0,Semiurban,1
88,LP001289,Male,0.0,0,1,0.0,8566,0.0,210.0,360.0,1.0,Urban,1
89,LP001310,Male,1.0,0,1,0.0,5695,4167.0,175.0,360.0,1.0,Semiurban,1
90,LP001316,Male,1.0,0,1,0.0,2958,2900.0,131.0,360.0,1.0,Semiurban,1
91,LP001318,Male,1.0,2,1,0.0,6250,5654.0,188.0,180.0,1.0,Semiurban,1
92,LP001319,Male,1.0,2,0,0.0,3273,1820.0,81.0,360.0,1.0,Urban,1
93,LP001322,Male,0.0,0,1,0.0,4133,0.0,122.0,360.0,1.0,Semiurban,1
94,LP001325,Male,0.0,0,0,0.0,3620,0.0,25.0,120.0,1.0,Semiurban,1
95,LP001326,Male,0.0,0,1,0.0,6782,0.0,128.0,360.0,1.0,Urban,0
96,LP001327,Female,1.0,0,1,0.0,2484,2302.0,137.0,360.0,1.0,Semiurban,1
97,LP001333,Male,1.0,0,1,0.0,1977,997.0,50.0,360.0,1.0,Semiurban,1
98,LP001334,Male,1.0,0,0,0.0,4188,0.0,115.0,180.0,1.0,Semiurban,1
99,LP001343,Male,1.0,0,1,0.0,1759,3541.0,131.0,360.0,1.0,Semiurban,1
100,LP001345,Male,1.0,2,0,0.0,4288,3263.0,133.0,180.0,1.0,Urban,1
101,LP001349,Male,0.0,0,1,0.0,4843,3806.0,151.0,360.0,1.0,Semiurban,1
102,LP001350,Male,1.0,0,1,0.0,13650,0.0,128.0,360.0,1.0,Urban,1
103,LP001356,Male,1.0,0,1,0.0,4652,3583.0,128.0,360.0,1.0,Semiurban,1
104,LP001357,Male,1.0,0,1,0.0,3816,754.0,160.0,360.0,1.0,Urban,1
105,LP001367,Male,1.0,1,1,0.0,3052,1030.0,100.0,360.0,1.0,Urban,1
106,LP001369,Male,1.0,2,1,0.0,11417,1126.0,225.0,360.0,1.0,Urban,1
107,LP001370,Male,0.0,0,0,0.0,7333,0.0,120.0,360.0,1.0,Rural,0
108,LP001379,Male,1.0,2,1,0.0,3800,3600.0,216.0,360.0,0.0,Urban,0
109,LP001384,Male,1.0,3+,0,0.0,2071,754.0,94.0,480.0,1.0,Semiurban,1
110,LP001385,Male,0.0,0,1,0.0,5316,0.0,136.0,360.0,1.0,Urban,1
111,LP001387,Female,1.0,0,1,0.0,2929,2333.0,139.0,360.0,1.0,Semiurban,1
112,LP001391,Male,1.0,0,0,0.0,3572,4114.0,152.0,360.0,0.0,Rural,0
113,LP001392,Female,0.0,1,1,1.0,7451,0.0,128.0,360.0,1.0,Semiurban,1
114,LP001398,Male,0.0,0,1,0.0,5050,0.0,118.0,360.0,1.0,Semiurban,1
115,LP001401,Male,1.0,1,1,0.0,14583,0.0,185.0,180.0,1.0,Rural,1
116,LP001404,Female,1.0,0,1,0.0,3167,2283.0,154.0,360.0,1.0,Semiurban,1
117,LP001405,Male,1.0,1,1,0.0,2214,1398.0,85.0,360.0,1.0,Urban,1
118,LP001421,Male,1.0,0,1,0.0,5568,2142.0,175.0,360.0,1.0,Rural,0
119,LP001422,Female,0.0,0,1,0.0,10408,0.0,259.0,360.0,1.0,Urban,1
120,LP001426,Male,1.0,0,1,0.0,5667,2667.0,180.0,360.0,1.0,Rural,1
121,LP001430,Female,0.0,0,1,0.0,4166,0.0,44.0,360.0,1.0,Semiurban,1
122,LP001431,Female,0.0,0,1,0.0,2137,8980.0,137.0,360.0,0.0,Semiurban,1
123,LP001432,Male,1.0,2,1,0.0,2957,0.0,81.0,360.0,1.0,Semiurban,1
124,LP001439,Male,1.0,0,0,0.0,4300,2014.0,194.0,360.0,1.0,Rural,1
125,LP001443,Female,0.0,0,1,0.0,3692,0.0,93.0,360.0,1.0,Rural,1
126,LP001448,Male,1.0,3+,1,0.0,23803,0.0,370.0,360.0,1.0,Rural,1
127,LP001449,Male,0.0,0,1,0.0,3865,1640.0,128.0,360.0,1.0,Rural,1
128,LP001451,Male,1.0,1,1,1.0,10513,3850.0,160.0,180.0,0.0,Urban,0
129,LP001465,Male,1.0,0,1,0.0,6080,2569.0,182.0,360.0,1.0,Rural,0
130,LP001469,Male,0.0,0,1,1.0,20166,0.0,650.0,480.0,1.0,Urban,1
131,LP001473,Male,0.0,0,1,0.0,2014,1929.0,74.0,360.0,1.0,Urban,1
132,LP001478,Male,0.0,0,1,0.0,2718,0.0,70.0,360.0,1.0,Semiurban,1
133,LP001482,Male,1.0,0,1,1.0,3459,0.0,25.0,120.0,1.0,Semiurban,1
134,LP001487,Male,0.0,0,1,0.0,4895,0.0,102.0,360.0,1.0,Semiurban,1
135,LP001488,Male,1.0,3+,1,0.0,4000,7750.0,290.0,360.0,1.0,Semiurban,0
136,LP001489,Female,1.0,0,1,0.0,4583,0.0,84.0,360.0,1.0,Rural,0
137,LP001491,Male,1.0,2,1,1.0,3316,3500.0,88.0,360.0,1.0,Urban,1
138,LP001492,Male,0.0,0,1,0.0,14999,0.0,242.0,360.0,0.0,Semiurban,0
139,LP001493,Male,1.0,2,0,0.0,4200,1430.0,129.0,360.0,1.0,Rural,0
140,LP001497,Male,1.0,2,1,0.0,5042,2083.0,185.0,360.0,1.0,Rural,0
141,LP001498,Male,0.0,0,1,0.0,5417,0.0,168.0,360.0,1.0,Urban,1
142,LP001504,Male,0.0,0,1,1.0,6950,0.0,175.0,180.0,1.0,Semiurban,1
143,LP001507,Male,1.0,0,1,0.0,2698,2034.0,122.0,360.0,1.0,Semiurban,1
144,LP001508,Male,1.0,2,1,0.0,11757,0.0,187.0,180.0,1.0,Urban,1
145,LP001514,Female,1.0,0,1,0.0,2330,4486.0,100.0,360.0,1.0,Semiurban,1
146,LP001516,Female,1.0,2,1,0.0,14866,0.0,70.0,360.0,1.0,Urban,1
147,LP001518,Male,1.0,1,1,0.0,1538,1425.0,30.0,360.0,1.0,Urban,1
148,LP001519,Female,0.0,0,1,0.0,10000,1666.0,225.0,360.0,1.0,Rural,0
149,LP001520,Male,1.0,0,1,0.0,4860,830.0,125.0,360.0,1.0,Semiurban,1
150,LP001528,Male,0.0,0,1,0.0,6277,0.0,118.0,360.0,0.0,Rural,0
151,LP001529,Male,1.0,0,1,1.0,2577,3750.0,152.0,360.0,1.0,Rural,1
152,LP001531,Male,0.0,0,1,0.0,9166,0.0,244.0,360.0,1.0,Urban,0
153,LP001532,Male,1.0,2,0,0.0,2281,0.0,113.0,360.0,1.0,Rural,0
154,LP001535,Male,0.0,0,1,0.0,3254,0.0,50.0,360.0,1.0,Urban,1
155,LP001536,Male,1.0,3+,1,0.0,39999,0.0,600.0,180.0,0.0,Semiurban,1
156,LP001541,Male,1.0,1,1,0.0,6000,0.0,160.0,360.0,1.0,Rural,1
157,LP001543,Male,1.0,1,1,0.0,9538,0.0,187.0,360.0,1.0,Urban,1
158,LP001546,Male,0.0,0,1,0.0,2980,2083.0,120.0,360.0,1.0,Rural,1
159,LP001552,Male,1.0,0,1,0.0,4583,5625.0,255.0,360.0,1.0,Semiurban,1
160,LP001560,Male,1.0,0,0,0.0,1863,1041.0,98.0,360.0,1.0,Semiurban,1
161,LP001562,Male,1.0,0,1,0.0,7933,0.0,275.0,360.0,1.0,Urban,0
162,LP001565,Male,1.0,1,1,0.0,3089,1280.0,121.0,360.0,0.0,Semiurban,0
163,LP001570,Male,1.0,2,1,0.0,4167,1447.0,158.0,360.0,1.0,Rural,1
164,LP001572,Male,1.0,0,1,0.0,9323,0.0,75.0,180.0,1.0,Urban,1
165,LP001574,Male,1.0,0,1,0.0,3707,3166.0,182.0,360.0,1.0,Rural,1
166,LP001577,Female,1.0,0,1,0.0,4583,0.0,112.0,360.0,1.0,Rural,0
167,LP001578,Male,1.0,0,1,0.0,2439,3333.0,129.0,360.0,1.0,Rural,1
168,LP001579,Male,0.0,0,1,0.0,2237,0.0,63.0,480.0,0.0,Semiurban,0
169,LP001580,Male,1.0,2,1,0.0,8000,0.0,200.0,360.0,1.0,Semiurban,1
170,LP001581,Male,1.0,0,0,0.0,1820,1769.0,95.0,360.0,1.0,Rural,1
171,LP001585,Male,1.0,3+,1,0.0,51763,0.0,700.0,300.0,1.0,Urban,1
172,LP001586,Male,1.0,3+,0,0.0,3522,0.0,81.0,180.0,1.0,Rural,0
173,LP001594,Male,1.0,0,1,0.0,5708,5625.0,187.0,360.0,1.0,Semiurban,1
174,LP001603,Male,1.0,0,0,1.0,4344,736.0,87.0,360.0,1.0,Semiurban,0
175,LP001606,Male,1.0,0,1,0.0,3497,1964.0,116.0,360.0,1.0,Rural,1
176,LP001608,Male,1.0,2,1,0.0,2045,1619.0,101.0,360.0,1.0,Rural,1
177,LP001610,Male,1.0,3+,1,0.0,5516,11300.0,495.0,360.0,0.0,Semiurban,0
178,LP001616,Male,1.0,1,1,0.0,3750,0.0,116.0,360.0,1.0,Semiurban,1
179,LP001630,Male,0.0,0,0,0.0,2333,1451.0,102.0,480.0,0.0,Urban,0
180,LP001633,Male,1.0,1,1,0.0,6400,7250.0,180.0,360.0,0.0,Urban,0
181,LP001634,Male,0.0,0,1,0.0,1916,5063.0,67.0,360.0,1.0,Rural,0
182,LP001636,Male,1.0,0,1,0.0,4600,0.0,73.0,180.0,1.0,Semiurban,1
183,LP001637,Male,1.0,1,1,0.0,33846,0.0,260.0,360.0,1.0,Semiurban,0
184,LP001639,Female,1.0,0,1,0.0,3625,0.0,108.0,360.0,1.0,Semiurban,1
185,LP001640,Male,1.0,0,1,1.0,39147,4750.0,120.0,360.0,1.0,Semiurban,1
186,LP001641,Male,1.0,1,1,1.0,2178,0.0,66.0,300.0,0.0,Rural,0
187,LP001643,Male,1.0,0,1,0.0,2383,2138.0,58.0,360.0,1.0,Rural,1
188,LP001644,Male,1.0,0,1,1.0,674,5296.0,168.0,360.0,1.0,Rural,1
189,LP001647,Male,1.0,0,1,0.0,9328,0.0,188.0,180.0,1.0,Rural,1
190,LP001653,Male,0.0,0,0,0.0,4885,0.0,48.0,360.0,1.0,Rural,1
191,LP001656,Male,0.0,0,1,0.0,12000,0.0,164.0,360.0,1.0,Semiurban,0
192,LP001657,Male,1.0,0,0,0.0,6033,0.0,160.0,360.0,1.0,Urban,0
193,LP001658,Male,0.0,0,1,0.0,3858,0.0,76.0,360.0,1.0,Semiurban,1
194,LP001664,Male,0.0,0,1,0.0,4191,0.0,120.0,360.0,1.0,Rural,1
195,LP001665,Male,1.0,1,1,0.0,3125,2583.0,170.0,360.0,1.0,Semiurban,0
196,LP001666,Male,0.0,0,1,0.0,8333,3750.0,187.0,360.0,1.0,Rural,1
197,LP001669,Female,0.0,0,0,0.0,1907,2365.0,120.0,360.0,1.0,Urban,1
198,LP001671,Female,1.0,0,1,0.0,3416,2816.0,113.0,360.0,1.0,Semiurban,1
199,LP001673,Male,0.0,0,1,1.0,11000,0.0,83.0,360.0,1.0,Urban,0
200,LP001674,Male,1.0,1,0,0.0,2600,2500.0,90.0,360.0,1.0,Semiurban,1
201,LP001677,Male,0.0,2,1,0.0,4923,0.0,166.0,360.0,0.0,Semiurban,1
202,LP001682,Male,1.0,3+,0,0.0,3992,0.0,128.0,180.0,1.0,Urban,0
203,LP001688,Male,1.0,1,0,0.0,3500,1083.0,135.0,360.0,1.0,Urban,1
