age,job,marital,y
20,student,single,yes
32,management,single,yes
49,technician,married,yes
32,blue-collar,married,yes
33,management,married,yes
61,admin.,married,yes
45,blue-collar,divorced,yes
34,technician,married,yes
37,management,married,yes
27,admin.,divorced,yes
52,services,married,yes
37,management,married,yes
27,services,single,yes
21,student,single,yes
25,student,single,yes
25,technician,single,yes
34,self-employed,single,yes
52,management,married,yes
55,admin.,married,yes
28,management,single,yes
35,technician,single,yes
29,blue-collar,single,yes
42,management,married,yes
29,blue-collar,single,yes
24,blue-collar,single,yes
34,admin.,married,yes
50,blue-collar,married,yes
49,entrepreneur,divorced,yes
45,blue-collar,divorced,yes
38,entrepreneur,married,yes
32,blue-collar,married,yes
49,entrepreneur,married,yes
25,admin.,single,yes
35,entrepreneur,married,yes
38,management,married,yes
35,entrepreneur,single,yes
32,services,married,yes
30,management,single,yes
55,management,married,yes
48,admin.,divorced,yes
60,technician,single,yes
37,management,married,yes
28,blue-collar,single,yes
54,admin.,married,yes
49,management,divorced,yes
30,management,married,yes
35,technician,married,yes
34,self-employed,single,yes
32,blue-collar,married,yes
61,admin.,married,yes
53,admin.,married,yes
46,admin.,married,yes
44,technician,single,yes
19,student,single,yes
30,blue-collar,single,yes
52,technician,married,yes
36,blue-collar,married,yes
47,admin.,single,yes
43,management,single,yes
41,blue-collar,married,yes
28,technician,single,yes
32,services,single,yes
41,self-employed,married,yes
35,technician,married,yes
30,management,single,yes
58,self-employed,divorced,yes
27,management,single,yes
39,management,married,yes
46,self-employed,married,yes
28,management,single,yes
38,technician,single,yes
28,services,single,yes
32,management,divorced,yes
35,self-employed,divorced,yes
50,management,married,yes
36,technician,married,yes
28,management,single,yes
48,management,married,yes
29,blue-collar,single,yes
34,management,married,yes
43,management,married,yes
47,blue-collar,married,yes
39,services,single,yes
55,housemaid,divorced,yes
46,management,divorced,yes
41,admin.,single,yes
31,housemaid,single,yes
26,admin.,single,yes
60,technician,married,yes
27,student,single,yes
28,services,single,yes
34,blue-collar,divorced,yes
34,management,married,yes
40,blue-collar,married,yes
41,technician,married,yes
33,management,single,yes
58,self-employed,married,yes
34,blue-collar,single,yes
43,management,divorced,yes
59,self-employed,married,yes
37,admin.,married,yes
45,technician,single,yes
49,blue-collar,married,yes
42,technician,married,yes
45,admin.,married,yes
55,blue-collar,divorced,yes
34,services,married,yes
63,entrepreneur,married,yes
48,management,married,yes
36,blue-collar,married,yes
38,admin.,married,yes
33,blue-collar,married,yes
59,technician,married,yes
37,technician,married,yes
37,technician,married,yes
60,management,divorced,yes
44,admin.,married,yes
32,technician,single,yes
33,management,married,yes
28,self-employed,single,yes
37,management,married,yes
31,technician,married,yes
34,services,married,yes
61,management,married,yes
36,management,single,yes
60,blue-collar,married,yes
27,technician,single,yes
41,management,divorced,yes
46,admin.,divorced,yes
31,management,married,yes
32,management,single,yes
42,management,married,yes
49,management,married,yes
45,admin.,married,yes
32,management,single,yes
27,admin.,married,yes
47,technician,married,yes
28,management,single,yes
46,admin.,married,yes
38,technician,married,yes
35,blue-collar,single,yes
38,services,single,yes
36,management,married,yes
56,housemaid,divorced,yes
32,technician,single,yes
31,management,married,yes
45,services,single,yes
36,management,married,yes
31,blue-collar,married,yes
53,services,divorced,yes
59,technician,married,yes
29,technician,single,yes
46,technician,married,yes
47,admin.,divorced,yes
42,admin.,divorced,yes
33,technician,married,yes
54,management,divorced,yes
28,student,single,yes
42,management,divorced,yes
49,management,single,yes
46,management,divorced,yes
39,self-employed,single,yes
53,blue-collar,married,yes
52,blue-collar,divorced,yes
47,services,single,yes
32,technician,single,yes
37,technician,single,yes
43,admin.,married,yes
31,management,single,yes
35,management,single,yes
25,student,single,yes
32,blue-collar,single,yes
46,admin.,married,yes
48,management,married,yes
34,technician,married,yes
53,admin.,single,yes
40,admin.,single,yes
49,housemaid,married,yes
49,admin.,married,yes
29,management,single,yes
38,technician,married,yes
35,technician,married,yes
57,blue-collar,married,yes
51,management,single,yes
31,management,married,yes
39,technician,divorced,yes
54,management,married,yes
51,self-employed,married,yes
34,management,single,yes
47,blue-collar,married,yes
34,admin.,married,yes
26,blue-collar,single,yes
39,technician,divorced,yes
42,management,married,yes
40,management,single,yes
28,student,single,yes
46,management,married,yes
48,housemaid,married,yes
30,services,single,yes
29,management,single,yes
22,student,single,yes
27,technician,single,yes
27,student,single,yes
42,services,divorced,yes
41,admin.,divorced,yes
44,technician,single,yes
37,entrepreneur,divorced,yes
44,management,married,yes
40,management,single,yes
34,technician,single,yes
59,management,married,yes
41,blue-collar,divorced,yes
30,management,married,yes
59,technician,married,yes
31,admin.,single,yes
48,technician,married,yes
47,technician,married,yes
33,blue-collar,single,yes
30,management,single,yes
38,management,single,yes
33,management,married,yes
41,admin.,married,yes
35,housemaid,married,yes
47,housemaid,single,yes
37,management,married,yes
62,management,married,yes
33,services,married,yes
40,services,married,yes
28,blue-collar,single,yes
43,entrepreneur,married,yes
23,entrepreneur,single,yes
29,management,married,yes
34,management,married,yes
24,student,single,yes
44,technician,married,yes
33,blue-collar,married,yes
24,services,married,yes
37,management,married,yes
41,management,married,yes
35,admin.,single,yes
32,blue-collar,married,yes
27,services,single,yes
30,management,married,yes
37,technician,single,yes
43,services,single,yes
35,services,married,yes
41,blue-collar,single,yes
44,management,single,yes
51,technician,married,yes
35,management,married,yes
36,management,married,yes
23,technician,single,yes
22,student,single,yes
35,admin.,divorced,yes
37,management,married,yes
53,housemaid,married,yes
44,technician,divorced,yes
31,management,married,yes
33,management,married,yes
34,admin.,divorced,yes
52,technician,married,yes
49,services,married,yes
50,management,single,yes
36,management,married,yes
45,blue-collar,single,yes
36,management,married,yes
42,technician,married,yes
27,student,single,yes
31,management,married,yes
29,management,single,yes
45,admin.,divorced,yes
55,management,divorced,yes
25,management,single,yes
41,blue-collar,single,yes
29,technician,single,yes
32,technician,single,yes
53,blue-collar,married,yes
47,technician,married,yes
40,blue-collar,married,yes
61,management,married,yes
35,management,divorced,yes
19,student,single,yes
46,technician,divorced,yes
38,entrepreneur,married,yes
37,technician,single,yes
39,management,married,yes
49,services,married,yes
43,blue-collar,married,yes
44,management,married,yes
38,technician,married,yes
32,technician,single,yes
51,housemaid,divorced,yes
32,management,married,yes
35,technician,single,yes
32,management,single,yes
34,housemaid,married,yes
41,technician,single,yes
49,blue-collar,married,yes
61,technician,married,yes
45,management,married,yes
36,management,single,yes
22,student,single,yes
31,management,single,yes
56,admin.,married,yes
46,admin.,married,yes
34,technician,single,yes
38,entrepreneur,single,yes
60,admin.,married,yes
51,self-employed,married,yes
49,technician,married,yes
40,management,married,yes
39,blue-collar,married,yes
50,technician,divorced,yes
34,admin.,married,yes
43,management,single,yes
33,services,married,yes
31,technician,single,yes
30,blue-collar,single,yes
47,services,married,yes
48,management,married,yes
32,admin.,single,yes
27,management,married,yes
24,technician,married,yes
28,admin.,single,yes
34,management,single,yes
55,management,married,yes
41,management,married,yes
52,blue-collar,married,yes
54,technician,married,yes
36,management,married,yes
36,blue-collar,married,yes
28,self-employed,single,yes
60,services,married,yes
40,blue-collar,single,yes
33,admin.,married,yes
25,management,single,yes
35,blue-collar,divorced,yes
53,management,married,yes
33,admin.,married,yes
53,admin.,married,yes
27,admin.,married,yes
46,services,married,yes
33,self-employed,single,yes
39,self-employed,married,yes
55,technician,married,yes
28,student,single,yes
47,management,married,yes
58,services,divorced,yes
32,management,divorced,yes
43,technician,married,yes
33,services,divorced,yes
49,technician,married,yes
61,self-employed,divorced,yes
43,blue-collar,married,yes
38,management,married,yes
52,management,single,yes
29,admin.,single,yes
29,services,divorced,yes
26,services,single,yes
32,services,married,yes
36,entrepreneur,married,yes
30,blue-collar,single,yes
30,admin.,single,yes
80,housemaid,married,yes
31,management,married,yes
32,services,single,yes
43,technician,married,yes
34,technician,divorced,yes
27,services,married,yes
36,blue-collar,divorced,yes
42,admin.,single,yes
36,management,single,yes
55,technician,divorced,yes
61,management,married,yes
35,management,married,yes
26,management,single,yes
47,management,married,yes
33,admin.,married,yes
53,services,divorced,yes
46,technician,divorced,yes
29,housemaid,single,yes
39,admin.,married,yes
54,technician,married,yes
26,student,single,yes
44,technician,single,yes
47,management,single,yes
31,services,divorced,yes
36,blue-collar,married,yes
42,management,married,yes
30,technician,married,yes
36,technician,single,yes
47,admin.,married,yes
25,management,married,yes
34,management,married,yes
49,management,married,yes
44,self-employed,single,yes
34,admin.,single,yes
37,blue-collar,divorced,yes
38,housemaid,divorced,yes
46,blue-collar,married,yes
52,admin.,single,yes
53,entrepreneur,married,yes
28,blue-collar,married,yes
32,blue-collar,married,yes
30,management,married,yes
25,student,single,yes
47,blue-collar,divorced,yes
50,self-employed,divorced,yes
30,technician,married,yes
55,entrepreneur,divorced,yes
32,blue-collar,married,yes
32,services,single,yes
48,blue-collar,married,yes
34,management,married,yes
27,blue-collar,single,yes
30,technician,single,yes
33,blue-collar,single,yes
62,self-employed,divorced,yes
39,services,divorced,yes
38,technician,single,yes
31,blue-collar,married,yes
33,technician,single,yes
36,technician,single,yes
32,management,single,yes
34,housemaid,married,yes
59,technician,married,yes
25,student,married,yes
53,management,married,yes
52,management,married,yes
34,admin.,divorced,yes
49,admin.,married,yes
50,blue-collar,married,yes
29,blue-collar,single,yes
41,entrepreneur,married,yes
45,admin.,divorced,yes
32,blue-collar,single,yes
45,management,single,yes
40,management,married,yes
49,blue-collar,single,yes
29,management,single,yes
38,management,single,yes
38,management,married,yes
26,technician,single,yes
60,self-employed,married,yes
42,blue-collar,single,yes
32,admin.,single,yes
46,blue-collar,married,yes
